Item Fat Content,Sr No,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Low Fat,1366,FDK02,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.112399145,12.5,120.444,4.3
Low Fat,1367,FDD02,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.050369191,16.6,117.2124,4.3
Low Fat,1368,DRD15,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.056884225,10.6,231.9642,4.3
Low Fat,1369,FDE29,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.143351652,8.905,62.0878,4.3
Low Fat,1370,FDD28,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.05337973,10.695,56.7904,4.3
Low Fat,1371,FDD29,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.018439138,12.15,254.7698,4.3
Low Fat,1372,FDE09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,8.775,111.3228,4.3
Low Fat,1373,FDI45,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.037639672,13.1,175.6054,4.3
Low Fat,1374,FDA32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030140981,14,216.0192,4.3
Low Fat,1375,FDZ20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0343603,16.1,253.4356,4.3
Low Fat,1376,FDT43,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.020579897,16.35,52.1324,4.3
Low Fat,1377,FDT44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.103146658,16.6,117.2466,4.3
Low Fat,1378,FDN32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01558456,17.5,185.1266,4.3
Low Fat,1379,FDR08,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.037681448,18.7,111.0886,4.3
Low Fat,1380,DRN35,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.070356805,8.01,36.8532,4.3
Low Fat,1381,DRH23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,14.65,54.9614,4.3
Low Fat,1382,NCK17,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.037953762,11,38.448,4.3
Low Fat,1383,NCS05,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.021010687,11.5,131.3942,4.3
Low Fat,1384,NCK53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.037639672,11.6,98.4042,4.3
Low Fat,1385,NCR41,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.018052019,17.85,96.6094,4.3
Low Fat,1386,NCS17,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.080626601,18.6,92.5436,4.3
Low Fat,1387,NCV17,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.016132592,18.85,130.2626,4.3
Low Fat,1388,NCL05,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,19.6,42.877,4.3
Low Fat,1389,NCZ30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026225693,6.59,119.0098,4.3
Low Fat,1390,NCE31,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.185130961,7.67,32.9216,4.3
Low Fat,1391,NCY54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.177971115,8.43,174.0422,4.3
Low Fat,1392,NCE19,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.093159233,8.97,55.7956,4.3
Low Fat,1393,NCO54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014296484,19.5,53.7614,4.3
Low Fat,1394,NCA06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.143506376,20.5,34.719,4.3
Low Fat,1395,NCL19,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.015700603,15.35,141.147,4.3
Low Fat,1396,NCM55,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.066829875,15.6,185.5924,4.3
Low Fat,1397,NCI31,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0814536,20,36.819,4.3
Low Fat,1398,FDX34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.072097449,6.195,119.3098,4.3
Low Fat,1399,FDM46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.160216552,7.365,93.512,4.3
Low Fat,1400,FDD34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.015900971,7.945,163.821,4.3
Low Fat,1401,FDL34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.041009558,16,141.2496,4.3
Low Fat,1402,FDM10,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.076089711,18.25,212.9218,4.3
Low Fat,1403,FDO58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.039638705,19.6,166.0526,4.3
Low Fat,1404,DRD37,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.013863257,9.8,45.106,4.3
Low Fat,1405,DRL49,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.056516756,13.15,143.4812,4.3
Low Fat,1406,DRM48,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.113072194,15.2,35.8848,4.3
Regular,1407,FDU24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,6.78,95.012,4.3
Regular,1408,FDV48,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.051697108,9.195,79.2644,4.3
Regular,1409,FDI12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.100555034,9.395,88.8856,4.3
Regular,1410,FDI48,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.055805027,11.85,53.0666,4.3
Regular,1411,FDK25,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.157075658,11.6,166.6474,4.3
Regular,1412,FDK26,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.032227432,5.46,186.824,4.3
Regular,1413,FDZ49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.133352623,11,219.7798,4.3
Regular,1414,FDE14,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031494041,13.65,98.87,4.3
Regular,1415,FDT50,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,6.75,96.7752,4.3
Regular,1416,FDZ26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.144241314,11.6,239.4222,4.3
Regular,1417,FDP40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.034410585,4.555,111.3544,4.3
Regular,1418,FDD41,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.08739577,6.765,105.3306,4.3
Regular,1419,FDV16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.083059634,7.75,35.7558,4.3
Regular,1420,FDG41,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.076681143,8.84,110.7228,4.3
Regular,1421,FDM04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04719387,9.195,52.8666,4.3
Regular,1422,FDR31,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04923932,6.46,144.4102,4.3
Regular,1423,FDD44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.078522357,8.05,257.1646,4.3
Regular,1424,FDV44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.039906377,8.365,191.3188,4.3
Regular,1425,FDM08,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.053667516,10.1,223.0088,4.3
Regular,1426,FDW19,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.038560279,12.35,109.857,4.3
Regular,1427,FDF57,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.058918844,14.5,169.7448,4.3
Regular,1428,FDQ07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.087542757,15.1,219.8456,4.3
Regular,1429,FDZ31,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,15.35,193.0504,4.3
Regular,1430,FDZ51,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.054637635,11.3,93.3094,4.3
Regular,1431,FDM27,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.158715731,12.35,157.2946,4.3
Regular,1432,FDQ03,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,15,235.6248,4.3
Regular,1433,DRY23,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.109265987,9.395,42.3112,4.3
low fat,1434,FDD57,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.022434418,18.1,96.2094,4.3
Low Fat,1435,FDD14,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.297312685,,185.4266,4.3
Low Fat,1436,FDO36,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.136417078,,179.766,4.3
Low Fat,1437,FDU36,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.081014461,,98.8384,4.3
Low Fat,1438,FDZ60,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.208987123,,106.0596,4.3
Low Fat,1439,FDS23,Breads,2018,OUT019,Tier 1,Small,Grocery Store,0.246678647,,129.7994,4.3
Low Fat,1440,DRI03,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.039751236,,176.9028,4.3
Low Fat,1441,FDP26,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.244338986,,105.9306,4.3
Low Fat,1442,FDC28,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0,,109.9254,4.3
Low Fat,1443,FDG16,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.157257637,,215.0192,4.3
Low Fat,1444,FDB33,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.025527994,,157.5262,4.3
Low Fat,1445,FDI20,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.067520165,,211.3586,4.3
Low Fat,1446,FDR07,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.136119549,,94.1094,4.3
Low Fat,1447,NCK17,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0,,40.348,4.3
Low Fat,1448,NCL05,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.083862625,,44.077,4.3
Low Fat,1449,NCQ29,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.182493512,,258.8278,4.3
Low Fat,1450,NCX29,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.156094569,,144.3102,4.3
Low Fat,1451,NCB30,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.045002624,,196.5084,4.3
Low Fat,1452,NCE54,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.047098175,,75.5354,4.3
Low Fat,1453,NCU06,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.13027716,,228.001,4.3
Low Fat,1454,FDL15,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.081651443,,152.5682,4.3
Low Fat,1455,NCM07,Others,2018,OUT019,Tier 1,Small,Grocery Store,0.069968018,,83.9908,4.3
Low Fat,1456,NCP43,Others,2018,OUT019,Tier 1,Small,Grocery Store,0.053413906,,181.766,4.3
Low Fat,1457,FDP34,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.240268248,,156.463,4.3
Low Fat,1458,DRF01,Soft Drinks,2018,OUT019,Tier 1,Small,Grocery Store,0.306542848,,147.3102,4.3
Low Fat,1459,DRL60,Soft Drinks,2018,OUT019,Tier 1,Small,Grocery Store,0.047377447,,150.6682,4.3
Regular,1460,FDU24,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.245407386,,92.812,4.3
Regular,1461,FDN25,Breakfast,2018,OUT019,Tier 1,Small,Grocery Store,0.107110465,,55.5588,4.3
Regular,1462,FDW38,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0,,55.9298,4.3
Regular,1463,FDX04,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.07278643,,49.4376,4.3
Regular,1464,FDA08,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.087692636,,162.5526,4.3
Regular,1465,FDE33,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.086905536,,78.8644,4.3
Regular,1466,FDG08,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.289522833,,172.0764,4.3
Regular,1467,FDQ32,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.081605462,,122.3388,4.3
Regular,1468,FDX56,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.129668578,,206.8638,4.3
Regular,1469,FDX03,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.106971167,,44.7744,4.3
Regular,1470,FDK58,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.078758649,,103.0016,4.3
Regular,1471,FDL09,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.22417463,,168.8816,4.3
Regular,1472,FDM22,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.073462632,,52.364,4.3
Regular,1473,FDV10,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.116793684,,41.0112,4.3
Low Fat,1474,NCJ54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.060067115,9.895,230.6642,4.3
Low Fat,1475,NCY30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.025953257,20.25,179.5976,4.3
Low Fat,1476,FDW24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03749705,6.8,49.9034,4.3
Low Fat,1477,FDT36,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.111274591,12.3,35.0874,4.3
Low Fat,1478,FDS60,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.032448523,20.85,177.866,4.3
Low Fat,1479,FDU23,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0,12.15,164.7184,4.3
Low Fat,1480,FDW47,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.046375227,15,122.8414,4.3
Low Fat,1481,FDV49,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.025827199,10,263.2226,4.3
Low Fat,1482,DRI03,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.022703693,6.03,177.9028,4.3
Low Fat,1483,FDU38,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.082549896,10.8,193.7504,4.3
Low Fat,1484,FDR02,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.022065676,16.7,110.5886,4.3
Low Fat,1485,FDU14,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.034752647,17.75,248.775,4.3
Low Fat,1486,FDK28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.065589906,5.695,258.2646,4.3
Low Fat,1487,FDR04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.022566975,7.075,97.3068,4.3
Low Fat,1488,FDL08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.049719026,10.8,246.7144,4.3
Low Fat,1489,FDG57,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.07229836,14.7,48.2034,4.3
Low Fat,1490,FDF32,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0,16.35,198.5426,4.3
Low Fat,1491,FDL20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0,17.1,111.9886,4.3
Low Fat,1492,DRK35,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.071846495,8.365,37.9506,4.3
Low Fat,1493,DRP35,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.090867297,18.85,127.3336,4.3
Low Fat,1494,NCN05,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.014459672,8.235,181.895,4.3
Low Fat,1495,NCK53,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.037581243,11.6,98.9042,4.3
Low Fat,1496,NCO41,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.018848862,12.5,96.7384,4.3
Low Fat,1497,NCR41,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.018023997,17.85,95.9094,4.3
Low Fat,1498,NCT42,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02488732,5.88,147.5392,4.3
Low Fat,1499,NCV54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0,11.1,119.1124,4.3
Low Fat,1500,NCR06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.006765149,12.5,41.7112,4.3
Low Fat,1501,NCC07,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.023951149,19.6,105.6964,4.3
Low Fat,1502,NCV30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.065932087,20.2,64.851,4.3
Low Fat,1503,NCN42,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.014222617,20.25,148.9418,4.3
Low Fat,1504,NCK19,Others,2016,OUT046,Tier 1,Small,Supermarket Type1,0.09046564,9.8,193.6478,4.3
Low Fat,1505,NCL55,Others,2016,OUT046,Tier 1,Small,Supermarket Type1,0,12.15,254.904,4.3
Low Fat,1506,FDV09,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.020568574,12.1,150.4734,4.3
Low Fat,1507,FDH33,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.121725411,12.85,45.1428,4.3
Low Fat,1508,FDK09,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.091763303,15.2,228.5352,4.3
Low Fat,1509,FDT45,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.057313443,15.85,53.3956,4.3
Low Fat,1510,FDM34,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.067447572,19,132.9626,4.3
Low Fat,1511,DRD12,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.077193561,6.96,89.9146,4.3
Low Fat,1512,DRE01,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.167155198,10.1,241.7512,4.3
Low Fat,1513,DRF36,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.023577298,16.1,192.6846,4.3
Low Fat,1514,FDG47,Starchy Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.06961884,12.8,260.3252,4.3
Regular,1515,FDP48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.044023213,7.52,183.095,4.3
Regular,1516,FDW12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.035572183,8.315,144.4444,4.3
Regular,1517,FDM36,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.058730831,11.65,171.9422,4.3
Regular,1518,FDU12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.07575107,15.5,262.8568,4.3
Regular,1519,FDS11,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.055558509,7.05,224.7088,4.3
Regular,1520,FDQ59,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.056386541,9.8,84.6908,4.3
Regular,1521,FDR59,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.063863551,14.5,262.3594,4.3
Regular,1522,FDP59,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.056465714,20.85,103.6648,4.3
Regular,1523,FDN38,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.091971856,6.615,251.6408,4.3
Regular,1524,FDT01,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.184167712,13.65,213.7902,4.3
Regular,1525,FDY37,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.026568875,17,142.047,4.3
Regular,1526,FDZ03,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.078786674,13.65,184.824,4.3
Regular,1527,FDQ28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.060427062,14,153.5656,4.3
Regular,1528,FDU28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.09391835,19.2,189.8214,4.3
Regular,1529,FDR32,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0,6.78,227.4694,4.3
Regular,1530,FDU19,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.046771477,8.77,173.9422,4.3
Regular,1531,FDJ44,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.106327251,12.3,172.8396,4.3
Regular,1532,FDF57,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.058827383,14.5,172.2448,4.3
Regular,1533,FDD56,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.10377827,15.2,175.6054,4.3
Regular,1534,FDC08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.103449993,19,225.472,4.3
Regular,1535,FDJ55,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.023530953,12.8,223.5404,4.3
Regular,1536,FDR57,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.023496967,5.675,156.1288,4.3
Regular,1537,FDU45,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.035506142,15.6,112.4518,4.3
Regular,1538,DRA59,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.127927931,8.27,184.8924,4.3
Regular,1539,FDB35,Starchy Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.064618976,12.3,89.8804,4.3
Regular,1540,FDK26,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.032177405,5.46,185.424,4.3
Low Fat,1541,NCB18,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.041374909,19.6,89.2514,4.3
Low Fat,1542,DRK12,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.042123243,9.5,32.09,4.3
Low Fat,1543,FDA48,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.115107028,12.1,222.0114,4.3
Low Fat,1544,FDE24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.093652168,14.85,141.5812,4.3
Low Fat,1545,FDW48,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.008558144,18,79.0618,4.3
Low Fat,1546,FDJ50,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.021629781,8.645,51.9982,4.3
Low Fat,1547,FDO38,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.072986772,17.25,78.8986,4.3
Low Fat,1548,FDB28,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.093574769,6.615,199.4426,4.3
Low Fat,1549,DRG51,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.011563024,12.1,164.9526,4.3
Low Fat,1550,DRE15,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.017821466,13.35,75.1012,4.3
Low Fat,1551,FDR02,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.022110425,16.7,110.8886,4.3
Low Fat,1552,FDS52,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.005485618,8.89,99.3016,4.3
Low Fat,1553,FDZ40,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.04026424,8.935,52.6298,4.3
Low Fat,1554,FDM28,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.045295529,15.7,181.366,4.3
Low Fat,1555,FDU40,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.03747983,20.85,192.7478,4.3
Low Fat,1556,DRM59,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.003599378,5.88,152.2998,4.3
Low Fat,1557,DRK35,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.071992202,8.365,38.3506,4.3
Low Fat,1558,DRM47,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.043874493,9.3,191.0846,4.3
Low Fat,1559,DRJ59,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.01941154,11.65,40.3164,4.3
Low Fat,1560,NCM29,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.017678008,11.5,129.2626,4.3
Low Fat,1561,NCO41,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.018887088,12.5,98.8384,4.3
Low Fat,1562,NCJ30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.080804019,5.82,171.479,4.3
Low Fat,1563,NCG54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.079968115,12.1,170.8106,4.3
Low Fat,1564,NCY06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.061308889,15.25,128.8968,4.3
Low Fat,1565,FDP27,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,0.119692888,8.155,188.453,4.3
Low Fat,1566,NCL31,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.120524922,7.39,142.247,4.3
Low Fat,1567,NCO02,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.073516952,11.15,65.9142,4.3
Low Fat,1568,NCL55,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.06479182,12.15,254.004,4.3
Low Fat,1569,NCQ43,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.111527348,17.75,110.2912,4.3
Low Fat,1570,FDX21,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.085138334,7.05,108.6912,4.3
Low Fat,1571,FDQ34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.162571649,10.85,107.4622,4.3
Low Fat,1572,FDA46,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.117874024,13.6,193.6136,4.3
Low Fat,1573,FDL45,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.037764269,15.6,124.9704,4.3
Low Fat,1574,FDO34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.029999653,17.7,169.7816,4.3
Low Fat,1575,FDP10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.128349909,19,106.5622,4.3
Low Fat,1576,DRE48,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.017360867,8.43,196.2768,4.3
Low Fat,1577,DRK12,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.041971264,9.5,33.39,4.3
Low Fat,1578,FDK36,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.007256127,7.09,50.4034,4.3
Low Fat,1579,FDV36,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.026450779,18.7,124.902,4.3
Low Fat,1580,FDP38,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.032283676,10.1,52.2008,4.3
Low Fat,1581,FDX37,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.063385859,16.2,98.17,4.3
